SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_FTP	FT_PERCENTAGE	CHANGE_IN_FTP	COMBINED_MINUTES
34678	26-DEC-13	Tim Duncan	75.08731082654249126891734575087310826542	87.5	12.41268917345750873108265424912689173458	66
34677	26-DEC-13	Tony Parker	79.15234822451317296678121420389461626575	91.66666666666666666666666666666666666667	12.51431844215349369988545246277205040092	64
34679	26-DEC-13	Kawhi Leonard	84.97560975609756097560975609756097560976	50	-34.97560975609756097560975609756097560976	57
34680	26-DEC-13	Tiago Splitter	73.94067796610169491525423728813559322034	72.72727272727272727272727272727272727273	-1.21340523882896764252696456086286594761	46
34682	26-DEC-13	Manu Ginóbili	79.3237971391417425227568270481144343303	75	-4.3237971391417425227568270481144343303	53
34684	26-DEC-13	Danny Green	82.3741007194244604316546762589928057554	100	17.6258992805755395683453237410071942446	43
34699	26-DEC-13	Chris Paul	88.2763975155279503105590062111801242236	0	-88.2763975155279503105590062111801242236	85
34701	26-DEC-13	DeAndre Jordan	43.09080654258319232938522278623801466441	0	-43.09080654258319232938522278623801466441	81
34700	26-DEC-13	Jamal Crawford	88.63198458574181117533718689788053949904	50	-38.63198458574181117533718689788053949904	79
34702	26-DEC-13	Blake Griffin	70.92316196793808734107241569928137092316	80	9.07683803206191265892758430071862907684	74
34705	26-DEC-13	Matt Barnes	76.08142493638676844783715012722646310433	50	-26.08142493638676844783715012722646310433	44
35000	28-DEC-13	Kemba Walker	82.92375551354757403906742281033396345306	83.33333333333333333333333333333333333333	0.40957781978575929426591052299936988027	71
34997	28-DEC-13	Al Jefferson	72.89719626168224299065420560747663551402	66.66666666666666666666666666666666666667	-6.23052959501557632398753894080996884735	77
34998	28-DEC-13	Gerald Henderson	81.34969325153374233128834355828220858896	0	-81.34969325153374233128834355828220858896	72
34972	28-DEC-13	Brandon Jennings	79.41176470588235294117647058823529411765	75	-4.41176470588235294117647058823529411765	63
34976	28-DEC-13	Kentavious Caldwell-Pope	78.75647668393782383419689119170984455959	0	-78.75647668393782383419689119170984455959	40
34974	28-DEC-13	Greg Monroe	71.14351496546431312356101304681504221028	100	28.85648503453568687643898695318495778972	45
34978	28-DEC-13	Josh Harrellson	50	100	50	47
34977	28-DEC-13	Will Bynum	81.67539267015706806282722513089005235602	100	18.32460732984293193717277486910994764398	47
35098	28-DEC-13	Brandon Knight	80.09367681498829039812646370023419203747	71.42857142857142857142857142857142857143	-8.66510538641686182669789227166276346604	62
35102	28-DEC-13	O.J. Mayo	81.41361256544502617801047120418848167539	100	18.58638743455497382198952879581151832461	51
35097	28-DEC-13	Larry Sanders	52.12121212121212121212121212121212121212	25	-27.12121212121212121212121212121212121212	56
34938	28-DEC-13	Shaun Livingston	82.21709006928406466512702078521939953811	100	17.78290993071593533487297921478060046189	45
34933	28-DEC-13	Deron Williams	84.81613285883748517200474495848161328588	50	-34.81613285883748517200474495848161328588	62
34932	28-DEC-13	Paul Pierce	80.70866141732283464566929133858267716535	33.33333333333333333333333333333333333333	-47.37532808398950131233595800524934383202	65
34963	28-DEC-13	Kyle Lowry	81.14525139664804469273743016759776536313	80	-1.14525139664804469273743016759776536313	76
34964	28-DEC-13	DeMar DeRozan	83.69609856262833675564681724845995893224	85.71428571428571428571428571428571428571	2.01818715165737753006746846582575535347	72
34967	28-DEC-13	Jonas Valan�?iūnas	77.7670837343599615014436958614051973051	87.5	9.7329162656400384985563041385948026949	63
34965	28-DEC-13	Amir Johnson	65.66901408450704225352112676056338028169	66.66666666666666666666666666666666666667	0.99765258215962441314553990610328638498	60
34968	28-DEC-13	John Salmons	76.33587786259541984732824427480916030534	100	23.66412213740458015267175572519083969466	53
34956	28-DEC-13	Andrea Bargnani	82.83582089552238805970149253731343283582	100	17.16417910447761194029850746268656716418	55
34954	28-DEC-13	Tyson Chandler	67.90582403965303593556381660470879801735	80	12.09417596034696406443618339529120198265	59
34953	28-DEC-13	Iman Shumpert	74.79674796747967479674796747967479674797	50	-24.79674796747967479674796747967479674797	41
34958	28-DEC-13	Tim Hardaway Jr.	81.98757763975155279503105590062111801242	66.66666666666666666666666666666666666667	-15.32091097308488612836438923395445134575	65
34957	28-DEC-13	Amar'e Stoudemire	74.58333333333333333333333333333333333333	83.33333333333333333333333333333333333333	8.75	46
34986	28-DEC-13	John Wall	78.84371029224904701397712833545108005083	80	1.15628970775095298602287166454891994917	66
