SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_TURNOVERS_PER36	TURNOVERS_PER36	CHANGE_IN_TP36	COMBINED_MINUTES
702	03-NOV-12	Mo Williams	3.0694087403598971722365038560411311054	1.84615384615384615384615384615384615385	-1.22325489420605101839035000988728495155	70
706	03-NOV-12	Marvin Williams	1.05277587388622344071281699794379712132	1.44	0.38722412611377655928718300205620287868	54
704	03-NOV-12	Al Jefferson	1.45545796737766624843161856963613550816	1.02857142857142857142857142857142857143	-0.42688653880623767700304714106470693673	63
703	03-NOV-12	Gordon Hayward	2.49467752035065748278021289918597370069	2	-0.49467752035065748278021289918597370069	62
705	03-NOV-12	Paul Millsap	2.4601113172541743970315398886827458256	4.64516129032258064516129032258064516129	2.18504997306840624812975043389789933569	56
707	03-NOV-12	Randy Foye	1.8283146067415730337078651685393258427	2.88	1.0516853932584269662921348314606741573	52
708	03-NOV-12	Derrick Favors	2.01306290821588174630457201787555861121	1.56521739130434782608695652173913043478	-0.44784551691153392021761549613642817643	46
613	03-NOV-12	Greivis Vasquez	2.73652124214136025909697085159077919604	4	1.26347875785863974090302914840922080396	73
615	03-NOV-12	Robin Lopez	1.69430393666153507807345502529140092369	3.27272727272727272727272727272727272727	1.57842333606573764919927224743587180358	69
616	03-NOV-12	Al-Farouq Aminu	1.75977653631284916201117318435754189944	4	2.24022346368715083798882681564245810056	61
614	03-NOV-12	Austin Rivers	1.88359788359788359788359788359788359788	2.11764705882352941176470588235294117647	0.23404917522564581388110799875505757859	63
612	03-NOV-12	Ryan Anderson	1.16729750189250567751703255109765329296	2.57142857142857142857142857142857142857	1.40413106953606575105439602033091813561	73
554	03-NOV-12	Jason Thompson	1.56186770428015564202334630350194552529	0	-1.56186770428015564202334630350194552529	58
552	03-NOV-12	Tyreke Evans	2.9917028842354800474120900829711576452	3.27272727272727272727272727272727272727	0.28102438849179267986063718975611508207	74
555	03-NOV-12	Isaiah Thomas	2.88645810544738569240866331218551739225	7.82608695652173913043478260869565217391	4.93962885107435343802611929651013478166	49
553	03-NOV-12	DeMarcus Cousins	4.14152850788515972503032753740396279822	0.8571428571428571428571428571428571428568	-3.28438565074230258217318468026110565536	67
556	03-NOV-12	James Johnson	2.55757575757575757575757575757575757576	3.6	1.04242424242424242424242424242424242424	41
557	03-NOV-12	Marcus Thornton	1.38521066208082545141874462596732588134	0.8571428571428571428571428571428571428568	-0.5280678049379683085616017688244687384832	70
559	03-NOV-12	Chuck Hayes	1.45348156816851960210649502633118782914	0	-1.45348156816851960210649502633118782914	54
558	03-NOV-12	Aaron Brooks	2.85134037367993501218521527213647441105	2.05714285714285714285714285714285714286	-0.79419751653707786932807241499361726819	42
637	03-NOV-12	Damian Lillard	2.77826398281486196196992600843344737052	2.57142857142857142857142857142857142857	-0.20683541138629053339849743700487594195	80
634	03-NOV-12	Nicolas Batum	2.59034116083296411165263624280017722641	1.6	-0.99034116083296411165263624280017722641	82
635	03-NOV-12	LaMarcus Aldridge	1.65056169513197552287880171705178555119	2.57142857142857142857142857142857142857	0.92086687629659590569262685437678587738	78
636	03-NOV-12	Wesley Matthews	1.38939338903014892844169996367598982928	0.8571428571428571428571428571428571428568	-0.5322505318872917855845571065331326864232	77
638	03-NOV-12	J.J. Hickson	2.41061276058117498420720151610865445357	3	0.58938723941882501579279848389134554643	62
735	03-NOV-12	Chris Paul	2.57507598784194528875379939209726443769	5.45454545454545454545454545454545454545	2.87946946670350925670074606244819010776	67
734	03-NOV-12	Blake Griffin	2.66341152743870077486466404840250504193	1.89473684210526315789473684210526315789	-0.76867468533343761696992720629724188404	71
736	03-NOV-12	Caron Butler	1.2981700753498385360602798708288482239	2.25	0.9518299246501614639397201291711517761	57
737	03-NOV-12	DeAndre Jordan	1.67274052478134110787172011661807580175	1.63636363636363636363636363636363636364	-0.03637688841770474423535648025443943811	45
739	03-NOV-12	Jamal Crawford	2.16168224299065420560747663551401869159	1.125	-1.03668224299065420560747663551401869159	63
740	03-NOV-12	Matt Barnes	1.71590602214420739940588711855252497975	0	-1.71590602214420739940588711855252497975	52
723	03-NOV-12	Stephen Curry	3.30722426943182792013025966235324363699	4.18604651162790697674418604651162790698	0.87882224219607905661392638415838426999	86
725	03-NOV-12	Klay Thompson	1.84990868338037522829154906192927112735	2.57142857142857142857142857142857142857	0.72151988804819620027987950949930030122	66
724	03-NOV-12	David Lee	2.44718792866941015089163237311385459534	1.24137931034482758620689655172413793104	-1.2058086183245825646847358213897166643	64
727	03-NOV-12	Harrison Barnes	1.38567598621217924166985829184220605132	0	-1.38567598621217924166985829184220605132	43
728	03-NOV-12	Jarrett Jack	2.60543153703967012654628181430399545002	0	-2.60543153703967012654628181430399545002	59
729	03-NOV-12	Carl Landry	1.7033898305084745762711864406779661017	2.25	0.5466101694915254237288135593220338983	56
726	03-NOV-12	Festus Ezeli	2.00682593856655290102389078498293515358	1.28571428571428571428571428571428571429	-0.72111165285226718673817649926864943929	41
803	04-NOV-12	Kyle Lowry	2.77431799393772389087903003582254064481	2.25	-0.52431799393772389087903003582254064481	72
805	04-NOV-12	Andrea Bargnani	1.76457960644007155635062611806797853309	0	-1.76457960644007155635062611806797853309	58
804	04-NOV-12	DeMar DeRozan	2.24788588024258990347655248996326983856	2.25	0.00211411975741009652344751003673016144	66
807	04-NOV-12	Landry Fields	1.39042821158690176322418136020151133501	3.42857142857142857142857142857142857143	2.03814321698452680820439006836991723642	43
810	04-NOV-12	Amir Johnson	1.8709209572153734590282813633067440174	1.56521739130434782608695652173913043478	-0.30570356591102563294132484156761358262	40
808	04-NOV-12	Alan Anderson	1.4033753268362253387211789874019491324	0	-1.4033753268362253387211789874019491324	44
870	05-NOV-12	Jrue Holiday	3.04747452850639497073487968783871667028	4.11428571428571428571428571428571428571	1.06681118577931931497940602644699761543	75
873	05-NOV-12	Evan Turner	2.57038093298024037482175595844367488287	1.33333333333333333333333333333333333333	-1.23704759964690704148842262511034154954	64
872	05-NOV-12	Thaddeus Young	1.72539711520905605258353113018075588826	3.7241379310344827586206896551724137931	1.99874081582542670603715852499165790484	65
878	05-NOV-12	Lavoy Allen	1.41517763296195080933361362203069161236	2.25	0.83482236703804919066638637796930838764	42
871	05-NOV-12	Dorell Wright	1.45945945945945945945945945945945945946	0	-1.45945945945945945945945945945945945946	67
875	05-NOV-12	Nick Young	1.34121122599704579025110782865583456425	2.48275862068965517241379310344827586207	1.14154739469260938216268527479244129782	61
859	05-NOV-12	Carmelo Anthony	2.19732167258813883574747198688166165619	2.4	0.20267832741186116425252801311833834381	69
861	05-NOV-12	Raymond Felton	2.0960475988100297492562685932851678708	3.13043478260869565217391304347826086957	1.03438718379866590291764445019309299877	53
858	05-NOV-12	Ronnie Brewer	0.8063241106719367588932806324110671936744	0	-0.8063241106719367588932806324110671936744	59
862	05-NOV-12	Jason Kidd	1.40229885057471264367816091954022988506	0	-1.40229885057471264367816091954022988506	43
860	05-NOV-12	Tyson Chandler	1.6500968366688185926404131697869593286	0	-1.6500968366688185926404131697869593286	49
863	05-NOV-12	J.R. Smith	1.42603982070259564265610340873553632857	0	-1.42603982070259564265610340873553632857	69
865	05-NOV-12	Steve Novak	0.3006263048016701461377870563674321503131	0	-0.3006263048016701461377870563674321503131	46
864	05-NOV-12	Pablo Prigioni	1.94255874673629242819843342036553524804	2.88	0.93744125326370757180156657963446475196	40
885	05-NOV-12	Marcin Gortat	1.6818766702959516975155894288825101455	0	-1.6818766702959516975155894288825101455	62
884	05-NOV-12	Goran Dragić	2.76363636363636363636363636363636363636	2.48275862068965517241379310344827586207	-0.28087774294670846394984326018808777429	64
883	05-NOV-12	Michael Beasley	2.6795841209829867674858223062381852552	1.24137931034482758620689655172413793104	-1.43820481063815918127892575451404732416	63
882	05-NOV-12	Luis Scola	2.22103004291845493562231759656652360515	2.18181818181818181818181818181818181818	-0.03921186110027311744049941474834178697	65
886	05-NOV-12	Jared Dudley	1.39805825242718446601941747572815533981	3.13043478260869565217391304347826086957	1.73237653018151118615449556775010552976	48
888	05-NOV-12	Shannon Brown	1.84546805349182763744427934621099554235	0	-1.84546805349182763744427934621099554235	41
887	05-NOV-12	Markieff Morris	2.35594886922320550639134709931170108161	1.38461538461538461538461538461538461539	-0.97133348460782089100673171469631646622	42
911	05-NOV-12	Luke Ridnour	1.93426042983565107458912768647281921618	1.89473684210526315789473684210526315789	-0.03952358773038791669439084436755605829	51
908	05-NOV-12	Andrei Kirilenko	2.13027522935779816513761467889908256881	2.18181818181818181818181818181818181818	0.05154295246038365304420350291909924937	62
910	05-NOV-12	Nikola Pekovic	1.90680173661360347322720694645441389291	4.15384615384615384615384615384615384615	2.24704441723255037292663920739173995324	55
912	05-NOV-12	Derrick Williams	1.43867403314917127071823204419889502762	0	-1.43867403314917127071823204419889502762	44
909	05-NOV-12	Brandon Roy	2.70967741935483870967741935483870967742	0	-2.70967741935483870967741935483870967742	51
916	05-NOV-12	Alexey Shved	2.67935958459541324102120294244915620943	2	-0.67935958459541324102120294244915620943	40
915	05-NOV-12	Chase Budinger	1.4761146496815286624203821656050955414	1.38461538461538461538461538461538461539	-0.09149926506614404703576678098971092601	47
914	05-NOV-12	Dante Cunningham	0.831122448979591836734693877551020408164	0	-0.831122448979591836734693877551020408164	45
1243	07-NOV-12	Nikola Vu�?ević	2.17037037037037037037037037037037037037	0	-2.17037037037037037037037037037037037037	60
1242	07-NOV-12	Glen Davis	1.77473467990414241698048613488531324889	7.57894736842105263157894736842105263158	5.80421268851691021459846123353573938269	55
1240	07-NOV-12	Arron Afflalo	1.62866741321388577827547592385218365062	2.57142857142857142857142857142857142857	0.94276115821468565029595264757638777795	62
1239	07-NOV-12	E'Twaun Moore	1.44966442953020134228187919463087248322	4	2.55033557046979865771812080536912751678	69
1246	07-NOV-12	J.J. Redick	1.65599207659293496203367448002641135688	9	7.34400792340706503796632551997358864312	54
1284	07-NOV-12	Jonas Valan�?iūnas	2.03620926457735048070920214758396803596	7.2	5.16379073542264951929079785241603196404	42
1280	07-NOV-12	DeMar DeRozan	2.24788588024258990347655248996326983856	0.9	-1.34788588024258990347655248996326983856	68
1281	07-NOV-12	Andrea Bargnani	1.76457960644007155635062611806797853309	0	-1.76457960644007155635062611806797853309	64
1282	07-NOV-12	Jose Calderon	1.85409905460702695075490334415126287569	0	-1.85409905460702695075490334415126287569	53
1324	07-NOV-12	Rodney Stuckey	2.31236514522821576763485477178423236514	3.1764705882352941176470588235294117647	0.86410544300707835001220405174517939956	73
1322	07-NOV-12	Greg Monroe	2.576153929304940006485785320505891255	1.8	-0.776153929304940006485785320505891255	75
1325	07-NOV-12	Brandon Knight	3.19725463280713795470144131777625257378	2.18181818181818181818181818181818181818	-1.0154364509889561365196231359580707556	66
1326	07-NOV-12	Tayshaun Prince	0.9227550130775937227550130775937227550132	2.66666666666666666666666666666666666667	1.74391165358907294391165358907294391166	56
1323	07-NOV-12	Jason Maxiell	1.39558149228845352230095873280533555648	2.11764705882352941176470588235294117647	0.72206556653507588946374714954760561999	57
1329	07-NOV-12	Jonas Jerebko	1.4360489658083579569438581680033769523	7.2	5.7639510341916420430561418319966230477	40
1327	07-NOV-12	Kyle Singler	1.27741935483870967741935483870967741936	0	-1.27741935483870967741935483870967741936	44
1264	07-NOV-12	Ty Lawson	2.71393830794829130935620120312300012799	3.78947368421052631578947368421052631579	1.0755353762622350064332724810875261878	77
1265	07-NOV-12	Andre Iguodala	1.75471102221286451205390041056953363512	4.73684210526315789473684210526315789474	2.98213108305029338268294169469362425962	74
1263	07-NOV-12	Danilo Gallinari	1.5566382460414129110840438489646772229	0.8780487804878048780487804878048780487804	-0.6785894655536080330352633611597991741196	73
1267	07-NOV-12	Kosta Koufos	1.32590529247910863509749303621169916434	3.42857142857142857142857142857142857143	2.10266613609231993633107839235972940709	51
1266	07-NOV-12	Kenneth Faried	1.97874852420306965761511216056670602125	1.02857142857142857142857142857142857143	-0.95017709563164108618654073199527744982	58
1268	07-NOV-12	Andre Miller	2.79989197947610045908722657304887928707	7.5	4.70010802052389954091277342695112071293	50
1269	07-NOV-12	Corey Brewer	1.77555726364335126825518831667947732513	0	-1.77555726364335126825518831667947732513	42
1408	08-NOV-12	Blake Griffin	2.66341152743870077486466404840250504193	2.76923076923076923076923076923076923077	0.10581924179206845590456672082826418884	56
1406	08-NOV-12	Chris Paul	2.57507598784194528875379939209726443769	2.11764705882352941176470588235294117647	-0.45742892901841587698909350974432326122	63
1407	08-NOV-12	DeAndre Jordan	1.67274052478134110787172011661807580175	1.28571428571428571428571428571428571429	-0.38702623906705539358600583090379008746	55
