SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_FTR	FT_RATE	CHANGE_IN_FTR	COMBINED_MINUTES
23774	05-APR-13	Thabo Sefolosha	17.85714285714285714285714285714285714286	0	-17.85714285714285714285714285714285714286	50
23773	05-APR-13	Kendrick Perkins	31.89269746646795827123695976154992548435	0	-31.89269746646795827123695976154992548435	51
23776	05-APR-13	Nick Collison	29.31726907630522088353413654618473895582	40	10.68273092369477911646586345381526104418	43
23775	05-APR-13	Kevin Martin	33.93501805054151624548736462093862815884	28.57142857142857142857142857142857142857	-5.36358947911294481691593604951005673027	47
23937	06-APR-13	Rashard Lewis	13.64902506963788300835654596100278551532	0	-13.64902506963788300835654596100278551532	58
23933	06-APR-13	Mike Miller	8.81502890173410404624277456647398843931	0	-8.81502890173410404624277456647398843931	53
23932	06-APR-13	Mario Chalmers	35.29980657640232108317214700193423597679	0	-35.29980657640232108317214700193423597679	51
23938	06-APR-13	Shane Battier	9.55165692007797270955165692007797270955	50	40.44834307992202729044834307992202729045	54
23940	06-APR-13	Norris Cole	15.87403598971722365038560411311053984576	16.66666666666666666666666666666666666667	0.79263067694944301628106255355612682091	45
23939	06-APR-13	Chris Andersen	59.64601769911504424778761061946902654867	57.14285714285714285714285714285714285714	-2.50316055625790139064475347661188369153	44
23944	06-APR-13	Kemba Walker	29.79722117912129177619226436349981224183	22.22222222222222222222222222222222222222	-7.57499895689906955397004214127759001961	66
23945	06-APR-13	Michael Kidd-Gilchrist	36.71147880041365046535677352637021716649	40	3.28852119958634953464322647362978283351	57
23941	06-APR-13	Josh McRoberts	21.63080407701019252548131370328425821065	0	-21.63080407701019252548131370328425821065	78
23942	06-APR-13	Gerald Henderson	30.02947678703021370670596904937361827561	66.66666666666666666666666666666666666667	36.63718987963645295996069761729304839106	74
23943	06-APR-13	Bismack Biyombo	61.62790697674418604651162790697674418605	25	-36.62790697674418604651162790697674418605	58
23921	06-APR-13	Jrue Holiday	19.19841662543295398317664522513607125186	5.88235294117647058823529411764705882353	-13.31606368425648339494135110748901242833	81
23925	06-APR-13	Spencer Hawes	18.33171677982541222114451988360814742968	22.22222222222222222222222222222222222222	3.89050544239681000107770233861407479254	66
23923	06-APR-13	Evan Turner	20.73421439060205580029368575624082232012	40	19.26578560939794419970631424375917767988	70
23924	06-APR-13	Thaddeus Young	16.70250896057347670250896057347670250896	18.18181818181818181818181818181818181818	1.47930922124470511567285760834147930922	66
23922	06-APR-13	Damien Wilkins	34.03361344537815126050420168067226890756	10	-24.03361344537815126050420168067226890756	65
23985	06-APR-13	Jeff Teague	33.41565818720671770807606816497900716226	0	-33.41565818720671770807606816497900716226	54
23983	06-APR-13	Ivan Johnson	34.55284552845528455284552845528455284553	15.38461538461538461538461538461538461538	-19.16823014383989993746091307066916823015	55
23984	06-APR-13	Anthony Tolliver	21.79195140470766894457099468488990129081	0	-21.79195140470766894457099468488990129081	45
23981	06-APR-13	Dahntay Jones	47.91666666666666666666666666666666666667	60	12.08333333333333333333333333333333333333	60
23988	06-APR-13	Shelvin Mack	16.74480910917615539182853315472203616879	20	3.25519089082384460817146684527796383121	42
24012	06-APR-13	Brandon Jennings	25.36412078152753108348134991119005328597	7.14285714285714285714285714285714285714	-18.22126363867038822633849276833291042883	65
24014	06-APR-13	Ersan Ilyasova	21.24206069160197600564573041637261820748	40	18.75793930839802399435426958362738179252	60
24011	06-APR-13	Monta Ellis	25.19776640297812936249418334108887854816	71.42857142857142857142857142857142857143	46.23080502559329920893438808748255002327	71
24013	06-APR-13	Larry Sanders	24.372230428360413589364844903988183161	28.57142857142857142857142857142857142857	4.19919814306815783920658366744038826757	58
24016	06-APR-13	J.J. Redick	24.0265120132560066280033140016570008285	40	15.9734879867439933719966859983429991715	55
24018	06-APR-13	Mike Dunleavy	19.79604079184163167366526694661067786443	33.33333333333333333333333333333333333333	13.5372925414917016596680663867226554689	40
24017	06-APR-13	Luc Richard Mbah a Moute	28.54291417165668662674650698602794411178	57.14285714285714285714285714285714285714	28.59994297120045623039635015682919874536	43
24002	06-APR-13	DeMar DeRozan	42.81695094074204325655002637594513803411	0	-42.81695094074204325655002637594513803411	60
24003	06-APR-13	Rudy Gay	29.23658709524935003545261167572677853935	20	-9.23658709524935003545261167572677853935	58
24004	06-APR-13	Kyle Lowry	34.10335794236723029292688735413193617528	11.11111111111111111111111111111111111111	-22.99224683125611918181577624302082506417	56
24000	06-APR-13	Jonas Valan�?iūnas	40.5542544886807181889149102263856362217	66.66666666666666666666666666666666666667	26.11241217798594847775175644028103044497	59
24001	06-APR-13	Amir Johnson	27.12511938872970391595033428844317096466	0	-27.12511938872970391595033428844317096466	47
24007	06-APR-13	Landry Fields	23.50597609561752988047808764940239043825	25	1.49402390438247011952191235059760956175	42
24005	06-APR-13	Terrence Ross	9.91544965411222136817832436587240584166	50	40.08455034588777863182167563412759415834	44
24006	06-APR-13	Sebastian Telfair	19.46902654867256637168141592920353982301	80	60.53097345132743362831858407079646017699	40
23972	06-APR-13	Nikola Pekovic	41.65424739195230998509687034277198211624	53.33333333333333333333333333333333333333	11.67908594138102334823646299056135121709	77
23973	06-APR-13	Ricky Rubio	44.47535771065182829888712241653418124006	69.23076923076923076923076923076923076923	24.75541152011740247034364681423504952917	69
23971	06-APR-13	Andrei Kirilenko	50.86042065009560229445506692160611854685	40	-10.86042065009560229445506692160611854685	78
23974	06-APR-13	Luke Ridnour	16.51090342679127725856697819314641744548	66.66666666666666666666666666666666666667	50.15576323987538940809968847352024922119	43
23976	06-APR-13	Dante Cunningham	14.22064777327935222672064777327935222672	57.14285714285714285714285714285714285714	42.92220936957779063042220936957779063042	58
23977	06-APR-13	Chase Budinger	21.88728702490170380078636959370904325033	37.5	15.61271297509829619921363040629095674967	51
23896	06-APR-13	Paul George	30.07135575942915392456676860346585117227	25	-5.07135575942915392456676860346585117227	72
23899	06-APR-13	George Hill	25.98591549295774647887323943661971830986	33.33333333333333333333333333333333333333	7.34741784037558685446009389671361502347	66
23898	06-APR-13	David West	26.32358385783043317289892632358385783043	0	-26.32358385783043317289892632358385783043	64
23897	06-APR-13	Roy Hibbert	32.28825456247075339260645765091249415068	23.52941176470588235294117647058823529412	-8.75884279776487103966528118032425885656	62
23900	06-APR-13	Lance Stephenson	21.60264353572903758777364725320115654688	200	178.397356464270962412226352746798843453	51
24024	06-APR-13	James Harden	55.06205094709340300457217504898758981058	100	44.93794905290659699542782495101241018942	64
24023	06-APR-13	Jeremy Lin	37.61242845461978740801308258381030253475	40	2.38757154538021259198691741618969746525	69
24026	06-APR-13	Omer Asik	56.69291338582677165354330708661417322835	0	-56.69291338582677165354330708661417322835	56
24025	06-APR-13	Francisco Garcia	5.9304703476482617586912065439672801636	0	-5.9304703476482617586912065439672801636	54
24031	06-APR-13	Donatas Motiejūnas	26.24784853700516351118760757314974182444	66.66666666666666666666666666666666666667	40.41881812966150315547905909351692484223	42
24029	06-APR-13	Patrick Beverley	17.34980348119034250421111734980348119034	0	-17.34980348119034250421111734980348119034	44
24030	06-APR-13	James Anderson	14.52750352609308885754583921015514809591	9.09090909090909090909090909090909090909	-5.43659443518399794845493011924605718682	41
24028	06-APR-13	Terrence Jones	29.96515679442508710801393728222996515679	27.27272727272727272727272727272727272727	-2.69242952169781438074121000950269242952	42
24123	07-APR-13	John Wall	32.49380677126341866226259289843104872007	0	-32.49380677126341866226259289843104872007	78
24127	07-APR-13	Garrett Temple	20.75055187637969094922737306843267108168	0	-20.75055187637969094922737306843267108168	54
24124	07-APR-13	Emeka Okafor	27.76801405975395430579964850615114235501	83.33333333333333333333333333333333333333	55.56531927357937902753368482718219097832	53
24126	07-APR-13	Martell Webster	31.6702819956616052060737527114967462039	9.09090909090909090909090909090909090909	-22.57937290475251429698284362058765529481	49
24125	07-APR-13	Nenê	44.39592430858806404657933042212518195051	22.22222222222222222222222222222222222222	-22.17370208636584182435710819990295972829	40
24128	07-APR-13	Kevin Seraphin	13.66322008862629246676514032496307237814	0	-13.66322008862629246676514032496307237814	61
24130	07-APR-13	Trevor Ariza	17.07095209217707701637355973317161916313	0	-17.07095209217707701637355973317161916313	51
