SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_THREE_ATT_PER36	THREE_ATT_PER36	CHANGE_IN_THPAP36	COMBINED_MINUTES
138870	16-DEC-17	Bam Adebayo	0.1880877742946708463949843260188087774295	0	-0.1880877742946708463949843260188087774295	50
138871	16-DEC-17	Jordan Mickey	1.06930693069306930693069306930693069307	1.33333333333333333333333333333333333333	0.26402640264026402640264026402640264026	42
138784	16-DEC-17	Nicolas Batum	5.25405405405405405405405405405405405405	8.52631578947368421052631578947368421052	3.27226173541963015647226173541963015647	75
138785	16-DEC-17	Kemba Walker	5.77913788580921570341872868759290023608	8.52631578947368421052631578947368421052	2.74717790366446850710758710188078397444	71
138786	16-DEC-17	Dwight Howard	0.0927070457354758961681087762669962917182	0	-0.0927070457354758961681087762669962917182	67
138787	16-DEC-17	Michael Kidd-Gilchrist	0.1320228839665542027284729353087868563884	0	-0.1320228839665542027284729353087868563884	56
138788	16-DEC-17	Marvin Williams	5.07059629883481836874571624400274160384	5.53846153846153846153846153846153846154	0.4678652396267200927927452944587968577	53
138790	16-DEC-17	Frank Kaminsky	5.36420840674553234331739239869116536622	3.13043478260869565217391304347826086957	-2.23377362413683669114347935521290449665	44
138789	16-DEC-17	Jeremy Lamb	5.24230465666929755327545382794001578532	1.5	-3.74230465666929755327545382794001578532	45
138774	16-DEC-17	C.J. McCollum	5.78082992402104032729398012857977790766	5.53846153846153846153846153846153846154	-0.24236838555950186575551859011823944612	76
138775	16-DEC-17	Damian Lillard	7.32659718354682154507120693770387461214	8.52631578947368421052631578947368421052	1.19971860592686266545510885176980959838	74
138778	16-DEC-17	Al-Farouq Aminu	3.29329608938547486033519553072625698324	4.69565217391304347826086956521739130435	1.40235608452756861792567403449113432111	53
138776	16-DEC-17	Evan Turner	1.95070279079242208189040537787736809941	0	-1.95070279079242208189040537787736809941	61
138777	16-DEC-17	Jusuf Nurkic	0.105712760277629471436198611852642819007	0	-0.105712760277629471436198611852642819007	50
138779	16-DEC-17	Ed Davis	0	0	0	40
138816	16-DEC-17	Russell Westbrook	4.76979775280898876404494382022471910112	3	-1.76979775280898876404494382022471910112	88
138817	16-DEC-17	Carmelo Anthony	5.49330418147034708936867996720415414048	4.5	-0.99330418147034708936867996720415414048	79
138815	16-DEC-17	Paul George	6.75606002308580223162754905732974220854	6.81081081081081081081081081081081081081	0.05475078772500857918326175348106860227	82
138818	16-DEC-17	André Roberson	2.25762711864406779661016949152542372881	0	-2.25762711864406779661016949152542372881	55
138820	16-DEC-17	Patrick Patterson	4.35244906220483065713129132370800161922	8.64	4.28755093779516934286870867629199838078	40
138855	16-DEC-17	DeAndre Jordan	0.016399416909620991253644314868804664723	0	-0.016399416909620991253644314868804664723	68
138854	16-DEC-17	Lou Williams	7.01789883268482490272373540856031128405	6	-1.01789883268482490272373540856031128405	69
138857	16-DEC-17	Jamil Wilson	9.19148936170212765957446808510638297872	7.5	-1.69148936170212765957446808510638297872	47
138860	16-DEC-17	Jawun Evans	2.37857142857142857142857142857142857143	2.76923076923076923076923076923076923077	0.39065934065934065934065934065934065934	66
138859	16-DEC-17	C.J. Williams	4.15686274509803921568627450980392156863	3.7241379310344827586206896551724137931	-0.43272481406355645706558485463150777553	55
138861	16-DEC-17	Sam Dekker	3.80965909090909090909090909090909090909	1.89473684210526315789473684210526315789	-1.9149222488038277511961722488038277512	40
138795	16-DEC-17	Joe Ingles	5.64985835694050991501416430594900849858	7.41176470588235294117647058823529411765	1.76190634894184302616230628228628561907	72
138794	16-DEC-17	Donovan Mitchell	7.89490616621983914209115281501340482574	6	-1.89490616621983914209115281501340482574	73
138798	16-DEC-17	Ricky Rubio	2.7129380053908355795148247978436657682	5.76	3.0470619946091644204851752021563342318	59
138799	16-DEC-17	Rodney Hood	6.68071312803889789303079416531604538087	8.30769230769230769230769230769230769231	1.62697917965340979927689814237626231144	56
138796	16-DEC-17	Ekpe Udoh	0.0331797235023041474654377880184331797235	0	-0.0331797235023041474654377880184331797235	62
138797	16-DEC-17	Joe Johnson	4.86244019138755980861244019138755980861	2.4	-2.46244019138755980861244019138755980861	45
138919	16-DEC-17	Kyrie Irving	5.50101160685762964540517516771376850176	10.8	5.29898839314237035459482483228623149824	67
138918	16-DEC-17	Al Horford	1.99740932642487046632124352331606217617	2.25	0.25259067357512953367875647668393782383	66
138917	16-DEC-17	Jaylen Brown	4.56362749878108239882983910287664553876	6.54545454545454545454545454545454545454	1.98182704667346305571561544257789991578	65
138916	16-DEC-17	Jayson Tatum	3.43600867678958785249457700650759219089	2.11764705882352941176470588235294117647	-1.31836161796605844072987112415465101442	60
138920	16-DEC-17	Aron Baynes	0.1950690869683012733676510430777567054999	0	-0.1950690869683012733676510430777567054999	44
138921	16-DEC-17	Marcus Smart	5.38196392785571142284569138276553106212	4.8	-0.58196392785571142284569138276553106212	63
138930	16-DEC-17	Marc Gasol	1.55865921787709497206703910614525139665	6.54545454545454545454545454545454545454	4.98679532757745048247841543930929405789	66
138928	16-DEC-17	Tyreke Evans	3.41367048597392335045436586329514026076	7.57894736842105263157894736842105263158	4.16527688244712928112458150512591237082	68
138931	16-DEC-17	JaMychal Green	2.1986970684039087947882736156351791531	3.85714285714285714285714285714285714286	1.65844578873894834806886924150767798976	57
138929	16-DEC-17	Dillon Brooks	3.9483870967741935483870967741935483871	5.14285714285714285714285714285714285714	1.19447004608294930875576036866359447004	57
138933	16-DEC-17	Mario Chalmers	4.25915492957746478873239436619718309859	8.30769230769230769230769230769230769231	4.04853737811484290357529794149512459372	58
138838	16-DEC-17	Khris Middleton	4.44740532959326788218793828892005610098	9.52941176470588235294117647058823529412	5.08200643511261447075323818166817919314	76
138836	16-DEC-17	Giannis Antetokounmpo	1.68101153504880212954747116237799467613	2.57142857142857142857142857142857142857	0.89041703637976929902395740905057675244	82
138837	16-DEC-17	Eric Bledsoe	4.01571428571428571428571428571428571428	7	2.98428571428571428571428571428571428572	70
138839	16-DEC-17	John Henson	0.0500521376433785192909280500521376433785	0	-0.0500521376433785192909280500521376433785	52
138841	16-DEC-17	Malcolm Brogdon	3.59232409381663113006396588486140724947	5	1.40767590618336886993603411513859275053	68
139056	18-DEC-17	Victor Oladipo	4.33140290745774731119253043375487531025	7.2	2.86859709254225268880746956624512468975	76
139060	18-DEC-17	Darren Collison	3.32517249054084130870242599599376808369	4.5	1.17482750945915869129757400400623191631	58
139059	18-DEC-17	Myles Turner	1.8514825505116767252689582786670165311	1.33333333333333333333333333333333333333	-0.51814921717834339193562494533368319777	60
139057	18-DEC-17	Thaddeus Young	1.76154829286105532225670987767025744021	0	-1.76154829286105532225670987767025744021	61
139058	18-DEC-17	Bojan Bogdanović	5.73788395904436860068259385665529010239	6.20689655172413793103448275862068965517	0.46901259267976933035188890196539955278	58
139063	18-DEC-17	Cory Joseph	2.10508977104266183495305550980069181354	2.57142857142857142857142857142857142857	0.46633880038590959361837306162787961503	58
139061	18-DEC-17	Domantas Sabonis	1.93136781053649105848235862735621072982	1.24137931034482758620689655172413793104	-0.68998850019166347227546207563207279878	50
139062	18-DEC-17	Lance Stephenson	3.04458254525803836800864631180761956228	2.57142857142857142857142857142857142857	-0.47315397382946693943721774037904813371	44
139360	20-DEC-17	Garrett Temple	4.0956086714841578654808226792662590328	5.14285714285714285714285714285714285714	1.04724847137298499166203446359088382434	61
139359	20-DEC-17	Willie Cauley-Stein	0.0977375565610859728506787330316742081448	0	-0.0977375565610859728506787330316742081448	61
139361	20-DEC-17	Zach Randolph	0.87197231833910034602076124567474048443	4.15384615384615384615384615384615384615	3.28187383550705350013308490817141336172	54
139358	20-DEC-17	Bogdan Bogdanovic	5.30895795246800731261425959780621572212	1.09090909090909090909090909090909090909	-4.21804886155891640352335050689712481303	51
139365	20-DEC-17	Buddy Hield	7.30512916510670160988393859977536503182	4.5	-2.80512916510670160988393859977536503182	44
139363	20-DEC-17	Justin Jackson	4.30366492146596858638743455497382198953	3.6	-0.70366492146596858638743455497382198953	41
139575	21-DEC-17	OG Anunoby	4.43478260869565217391304347826086956522	6.85714285714285714285714285714285714286	2.42236024844720496894409937888198757764	52
139572	21-DEC-17	DeMar DeRozan	2.04493038353122063722559152643717434014	8.30769230769230769230769230769230769231	6.26276192416108705508210078125513335217	68
139574	21-DEC-17	Serge Ibaka	2.59233049631825571387587262121067227694	3.1764705882352941176470588235294117647	0.58414009191703840377118620231873948776	61
139573	21-DEC-17	Kyle Lowry	6.60016533480297602645356847616423257096	9	2.39983466519702397354643152383576742904	60
139578	21-DEC-17	Jakob Pöltl	0	0	0	43
139577	21-DEC-17	Delon Wright	3.50752878653675819309123117803365810452	5.14285714285714285714285714285714285714	1.63532835632038466405162596482348475262	47
139591	21-DEC-17	Kyrie Irving	5.50101160685762964540517516771376850176	14.59459459459459459459459459459459459459	9.09358298773696494918941942688082609283	74
139593	21-DEC-17	Jayson Tatum	3.43600867678958785249457700650759219089	6.35294117647058823529411764705882352941	2.91693249968100038279954064055123133852	62
