SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_FT_ATT_PER36	FT_ATT_PER36	CHANGE_IN_FTAP36	COMBINED_MINUTES
82268	25-NOV-15	Jamal Crawford	4.3654205607476635514018691588785046729	2.4	-1.9654205607476635514018691588785046729	54
82269	25-NOV-15	Austin Rivers	3.0952380952380952380952380952380952381	2.76923076923076923076923076923076923077	-0.32600732600732600732600732600732600733	46
82572	28-NOV-15	LeBron James	6.95540170664949283529222347448075994204	6	-0.95540170664949283529222347448075994204	74
82571	28-NOV-15	J.R. Smith	1.81632440321067445011987907849473574481	1.84615384615384615384615384615384615385	0.02982944294317170372627476765911040904	70
82573	28-NOV-15	Kevin Love	5.95516726060466720312679618346936429475	4.23529411764705882352941176470588235294	-1.71987314295760837959738441876348194181	64
82574	28-NOV-15	Mo Williams	2.56041131105398457583547557840616966581	0	-2.56041131105398457583547557840616966581	49
82577	28-NOV-15	Matthew Dellavedova	1.3387565368971528181289947704822777455	0	-1.3387565368971528181289947704822777455	58
82578	28-NOV-15	Richard Jefferson	2.58992805755395683453237410071942446043	0	-2.58992805755395683453237410071942446043	48
82576	28-NOV-15	Tristan Thompson	3.8516129032258064516129032258064516129	5.625	1.7733870967741935483870967741935483871	62
82551	28-NOV-15	Bradley Beal	3.77694108069604151826600183168820596316	7.02439024390243902439024390243902439024	3.24744916320639750612424207075081842708	74
82554	28-NOV-15	Marcin Gortat	2.86132831832129070573097099871325348906	1.05882352941176470588235294117647058823	-1.80250478890952599984861805753678290083	63
82553	28-NOV-15	John Wall	5.39759954277005143836921318346351686035	7.38461538461538461538461538461538461538	1.98701584184533317701540220115186775503	68
82552	28-NOV-15	Otto Porter	1.85497259201252936570086139389193422083	3.69230769230769230769230769230769230769	1.83733510029516294199144629841575808686	61
82555	28-NOV-15	Jared Dudley	1.73259361997226074895977808599167822469	0	-1.73259361997226074895977808599167822469	60
82556	28-NOV-15	Ramon Sessions	6.5347556779077770130763936682725395733	5.76	-0.7747556779077770130763936682725395733	49
82606	28-NOV-15	Paul Millsap	5.53246753246753246753246753246753246753	6.92307692307692307692307692307692307692	1.39060939060939060939060939060939060939	61
82608	28-NOV-15	Kyle Korver	1.15001079214331966328512842650550399309	0	-1.15001079214331966328512842650550399309	59
82610	28-NOV-15	Al Horford	2.37435233160621761658031088082901554404	3.27272727272727272727272727272727272727	0.89837494112105511069241639189825718323	52
82609	28-NOV-15	Jeff Teague	4.59119615420869073428221321519464605524	3.13043478260869565217391304347826086957	-1.46076137159999508210830017171638518567	52
82612	28-NOV-15	Kent Bazemore	3.37637795275590551181102362204724409449	1.8	-1.57637795275590551181102362204724409449	46
82614	28-NOV-15	Lamar Patterson	1.6564417177914110429447852760736196319	0	-1.6564417177914110429447852760736196319	42
82611	28-NOV-15	Mike Muscala	2.29019607843137254901960784313725490196	0	-2.29019607843137254901960784313725490196	47
82620	28-NOV-15	Kawhi Leonard	4.46893544871018529732348310524403536393	8.68965517241379310344827586206896551724	4.22071972370360780612479275682493015331	61
82619	28-NOV-15	Danny Green	1.15565819861431870669745958429561200924	0	-1.15565819861431870669745958429561200924	56
82623	28-NOV-15	Tony Parker	3.82754841066861527219583485568140299598	1.63636363636363636363636363636363636364	-2.19118477430497890855947121931776663234	47
82622	28-NOV-15	LaMarcus Aldridge	5.03388437300210064846104667092885194995	1.44	-3.59388437300210064846104667092885194995	43
