SECOND_GAME	GAME_DATE	PLAYER_NAME	AVG_BLOCKS_PER36	BLOCKS_PER36	CHANGE_IN_BP36	COMBINED_MINUTES
911	05-NOV-12	Luke Ridnour	0.250316055625790139064475347661188369153	0	-0.250316055625790139064475347661188369153	51
908	05-NOV-12	Andrei Kirilenko	0.9082568807339449541284403669724770642184	4.36363636363636363636363636363636363636	3.45537948290241868223519599666388657214	62
910	05-NOV-12	Nikola Pekovic	0.7606367583212735166425470332850940665716	2.76923076923076923076923076923076923077	2.0085940109094957141266837359456751642	55
912	05-NOV-12	Derrick Williams	0.4176795580110497237569060773480662983428	0	-0.4176795580110497237569060773480662983428	44
909	05-NOV-12	Brandon Roy	0	0	0	51
916	05-NOV-12	Alexey Shved	0.5763738641280830809173517957594115101704	0	-0.5763738641280830809173517957594115101704	40
915	05-NOV-12	Chase Budinger	0.3009554140127388535031847133757961783439	0	-0.3009554140127388535031847133757961783439	47
914	05-NOV-12	Dante Cunningham	0.7714285714285714285714285714285714285704	1.38461538461538461538461538461538461539	0.6131868131868131868131868131868131868196	45
1243	07-NOV-12	Nikola Vu�?ević	1.08148148148148148148148148148148148148	0	-1.08148148148148148148148148148148148148	60
1242	07-NOV-12	Glen Davis	0.7024991441287230400547757617254364943528	0	-0.7024991441287230400547757617254364943528	55
1240	07-NOV-12	Arron Afflalo	0.1531914893617021276595744680851063829787	0	-0.1531914893617021276595744680851063829787	62
1239	07-NOV-12	E'Twaun Moore	0.3906897044123946879908610595459088961888	0	-0.3906897044123946879908610595459088961888	69
1246	07-NOV-12	J.J. Redick	0.142621327170683393859359524595576097722	0	-0.142621327170683393859359524595576097722	54
1284	07-NOV-12	Jonas Valan�?iūnas	1.49232113871894119115994506180546884755	0	-1.49232113871894119115994506180546884755	42
1280	07-NOV-12	DeMar DeRozan	0.2829076620825147347740667976424361493124	0	-0.2829076620825147347740667976424361493124	68
1281	07-NOV-12	Andrea Bargnani	1.1463327370304114490161001788908765653	0	-1.1463327370304114490161001788908765653	64
1282	07-NOV-12	Jose Calderon	0.1168336390574290955270213066177508113447	0	-0.1168336390574290955270213066177508113447	53
1324	07-NOV-12	Rodney Stuckey	0.2091286307053941908713692946058091286307	0	-0.2091286307053941908713692946058091286307	73
1322	07-NOV-12	Greg Monroe	0.7705112960760998810939357907253269916764	0	-0.7705112960760998810939357907253269916764	75
1325	07-NOV-12	Brandon Knight	0.2470830473575840768702814001372683596431	0	-0.2470830473575840768702814001372683596431	66
1326	07-NOV-12	Tayshaun Prince	0.3452484742807323452484742807323452484743	1.33333333333333333333333333333333333333	0.9880848590526009880848590526009880848557	56
1323	07-NOV-12	Jason Maxiell	1.84576907044601917465610671112963734889	1.05882352941176470588235294117647058823	-0.78694554103425446877375376995316676066	57
1329	07-NOV-12	Jonas Jerebko	0.5166737019839594765723934149430139299276	0	-0.5166737019839594765723934149430139299276	40
1327	07-NOV-12	Kyle Singler	0.4645161290322580645161290322580645161288	2.88	2.41548387096774193548387096774193548387	44
1264	07-NOV-12	Ty Lawson	0.156661973633687444003583770638679124536	0	-0.156661973633687444003583770638679124536	77
1265	07-NOV-12	Andre Iguodala	0.5609011474892093904621539109379934729964	0.9473684210526315789473684210526315789468	0.3864672735634221884852145101146381059504	74
1263	07-NOV-12	Danilo Gallinari	0.4220462850182704019488428745432399512792	0.8780487804878048780487804878048780487804	0.4560024954695344760999376132616380975012	73
1267	07-NOV-12	Kosta Koufos	1.62674094707520891364902506963788300836	0	-1.62674094707520891364902506963788300836	51
1266	07-NOV-12	Kenneth Faried	1.1948051948051948051948051948051948052	1.02857142857142857142857142857142857143	-0.16623376623376623376623376623376623377	58
